"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"17540","Clinton, IA",".",".",".",".","0.1","0.08","24","10","3","29","11.8","66","24","."
"17660","Coeur d'Alene, ID",".",".",".",".",".",".",".",".",".","31","9.7","72","23","."
"17700","Coffeyville, KS",".",".",".",".",".",".","86","31","4",".",".","54","21","."
"17820","Colorado Springs, CO","9.8","5.2",".",".","0.08","0.072",".",".",".","20","7.8","110","28","."
"17900","Columbia, SC","3.4","2.8","54","12","0.12","0.084","108","18","3","31","13.5","97","36","."
"17980","Columbus, GA-AL",".",".",".",".","0.1","0.079",".",".",".","31","14.2","44","23","."
"18140","Columbus, OH","3.6","2.5",".",".","0.12","0.103","37","17","4","40","16.2","46","22","."
"18180","Concord, NH",".",".",".",".","0.1","0.085","106","26","4","31","9.9","48","15","."
"18260","Cookeville, TN",".",".",".",".","0.1","0.088",".",".",".","29","13",".",".","."
"18500","Corning, NY",".",".",".",".",".",".",".",".",".","37","10.4",".",".","."
"18580","Corpus Christi, TX",".",".",".",".","0.1","0.084","86","26","2","26","10.2",".",".","."
"18700","Corvallis, OR",".",".",".",".",".",".",".",".",".","27","7.6",".",".","."
"18860","Crescent City, CA",".",".",".",".",".",".",".",".",".",".",".","37","18","."
"19000","Cullowhee, NC",".",".",".",".",".",".",".",".",".","36","13.1",".",".","."
"19100","Dallas-Fort Worth-Arlington, TX","4","2.1","61","19","0.14","0.109","82","16","1","38","13.6","62","29","."
"19140","Dalton, GA",".",".",".",".","0.1","0.092",".",".",".",".",".",".",".","."
"19300","Daphne-Fairhope-Foley, AL",".",".",".",".","0.09","0.072",".",".",".",".",".",".",".","."
"19340","Davenport-Moline-Rock Island, IA-IL",".",".","28","5","0.1","0.082","25","13","2","30","12.3","142","41","."
"19380","Dayton, OH","3.4","1.8",".",".","0.12","0.096","37","21","4","37","16.2","49","24","."
"19460","Decatur, AL",".",".",".",".","0.1","0.087",".",".",".","31","13.1",".",".","."
"19500","Decatur, IL",".",".",".",".","0.09","0.085","41","21","4","34","14.1",".",".","."
"19660","Deltona-Daytona Beach-Ormond Beach, FL",".",".",".",".","0.09","0.069",".",".",".","22","8.8","38","17","."
"19700","Deming, NM",".",".",".",".",".",".",".",".",".",".",".","45","18","."
"19740","Denver-Aurora-Lakewood, CO","7.5","3.7","87","35","0.11","0.088","78","23","4","26","10.2","126","39","."
"19760","DeRidder, LA",".",".",".",".","0.09","0.07",".",".",".",".",".",".",".","."
"19780","Des Moines-West Des Moines, IA","4.1","2.7",".","12","0.07","0.061",".",".",".","26","10.5","68","32","."
"19820","Detroit-Warren-Dearborn, MI","4.6","3.7","69","21","0.12","0.1","139","38","6","46","19.8","111","38","."
"19860","Dickinson, ND",".",".",".",".","0.07","0.062","10","3","1","9","4.2",".",".","."
"19980","Dodge City, KS",".",".",".",".",".",".",".",".",".",".",".","53","19","."
"20100","Dover, DE",".",".",".",".","0.11","0.094",".",".",".","47","13.2",".",".","."
"20180","DuBois, PA",".",".",".",".","0.11","0.095",".",".",".",".",".",".",".","."
"20260","Duluth, MN-WI","3.2","2.1",".",".","0.07","0.065","16","4","1","24","7.9","48","23","."
"20420","Durango, CO",".",".","39","8","0.07","0.06",".",".",".","20","6","67","22","."
"20500","Durham-Chapel Hill, NC","1.4","1",".",".","0.12","0.102",".",".",".","33","13.6","37","21","."
"20540","Dyersburg, TN",".",".",".",".",".",".",".",".",".","31","11.6",".",".","."
"20780","Edwards, CO",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"20820","Effingham, IL",".",".",".",".","0.09","0.08",".",".",".",".",".",".",".","."
"20940","El Centro, CA","15.2","11","88","13","0.13","0.092","2","1","0","44","15.1","329","80","."
"21020","Elizabeth City, NC",".",".",".",".",".",".",".",".",".","33","11.3","35","16","."
"21060","Elizabethtown-Fort Knox, KY",".",".",".",".","0.1","0.084",".",".",".","32","14","38","19","."
"21140","Elkhart-Goshen, IN",".",".",".",".","0.11","0.099",".",".",".","35","15",".",".","."
"21300","Elmira, NY",".",".",".",".","0.1","0.089","24","13","4",".",".",".",".","."
"21340","El Paso, TX","13.1","6.8","81","21","0.13","0.089","20","6","1","57","17.1","533","57","."
"21420","Enid, OK",".",".",".",".",".",".",".",".",".","28","9.7",".",".","."
